141026 184625.382|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\Users\Qasim\Documents\CMUQ WORK\Fall 2014\Competition Progg\pc2-9.2.3\bin\logs directory.
141026 184625.382|INFO|AWT-EventQueue-0|info|
141026 184625.382|INFO|AWT-EventQueue-0|info|Version 9.2.3 20120910 (Monday, September 10th 2012 16:20 UTC) Java ver 1.8.0_20 build 2565 Windows 7 6.1 (amd64) 
141026 184625.383|INFO|AWT-EventQueue-0|info|Login: team13 (aka team13)
141026 184625.383|INFO|AWT-EventQueue-0|startLog|Working directory is C:\Users\Qasim\Documents\CMUQ WORK\Fall 2014\Competition Progg\pc2-9.2.3\bin
141026 184625.384|INFO|AWT-EventQueue-0|startLog|Process id is 5200@CHIKAANCOMPUTER
141026 184625.385|INFO|AWT-EventQueue-0|info|Contacting server at pc2.qatar.cmu.edu:50002 as TEAM13 @ site 0
141026 184625.385|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM13 @ site 0
141026 184625.393|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 TEAM13 @ site 0 -> SERVER0 @ site 0
141026 184625.396|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 TEAM13 @ site 0 -> SERVER0 @ site 0
141026 184625.397|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
141026 184625.395|INFO|Thread-4|run|send(Serializable)
141026 184625.745|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
141026 184625.818|INFO|Thread-5|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #49 SERVER0 @ site 1 -> TEAM13 @ site 1
141026 184625.819|INFO|Thread-5|dumpPacket|Packet LOGIN_SUCCESS (Seq #49 ) recieveObject
141026 184625.819|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1 (pc2 @ 127.0.1.1) (Contest Id: Default--7456034155207893469)
141026 184625.820|INFO|Thread-5|dumpPacket|    To: TEAM13 @ site 1
141026 184625.820|INFO|Thread-5|dumpPacket|   key: ACCOUNT_ARRAY is: [Ledu.csus.ecs.pc2.core.model.Account; [Ledu.csus.ecs.pc2.core.model.Account;@66108383
141026 184625.820|INFO|Thread-5|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
141026 184625.821|INFO|Thread-5|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1414338386879,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2014,MONTH=9,WEEK_OF_YEAR=44,WEEK_OF_MONTH=5,DAY_OF_MONTH=26,DAY_OF_YEAR=299,DAY_OF_WEEK=1,DAY_OF_WEEK_IN_MONTH=4,AM_PM=1,HOUR=3,HOUR_OF_DAY=15,MINUTE=46,SECOND=26,MILLISECOND=879,ZONE_OFFSET=0,DST_OFFSET=0]
141026 184625.821|INFO|Thread-5|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@68d77131
141026 184625.822|INFO|Thread-5|dumpPacket|   key: PROBLEM_DATA_FILES is: [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles; [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles;@6ce8e8f3
