141026 184625.853|CONFIG|Thread-5|setFileHandlers|Now logging to C:\Users\Qasim\Documents\CMUQ WORK\Fall 2014\Competition Progg\pc2-9.2.3\bin\logs directory.
141026 184625.853|INFO|Thread-5|info|
141026 184625.853|INFO|Thread-5|info|Version 9.2.3 20120910 (Monday, September 10th 2012 16:20 UTC) Java ver 1.8.0_20 build 2565 Windows 7 6.1 (amd64) 
141026 184625.854|INFO|Thread-5|info|Login: team13 (aka team13)
141026 184625.854|INFO|Thread-5|startLog|Working directory is C:\Users\Qasim\Documents\CMUQ WORK\Fall 2014\Competition Progg\pc2-9.2.3\bin
141026 184625.854|INFO|Thread-5|startLog|Process id is 5200@CHIKAANCOMPUTER
141026 184625.856|INFO|Thread-5|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
141026 184625.892|INFO|Thread-5|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
141026 184626.240|INFO|Thread-5|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
141026 184626.241|INFO|Thread-5|info|handlePacket end Packet[LOGIN_SUCCESS] #49 SERVER0 @ site 1 -> TEAM13 @ site 1
141026 184626.242|INFO|Thread-5|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #49 SERVER0 @ site 1 -> TEAM13 @ site 1
141026 184731.832|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for A - Wrong Directions Python file: C:\Users\Qasim\Documents\CMUQ WORK\Fall 2014\Competition Progg\ninth\PrA.py
141026 184731.838|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #2 TEAM13 @ site 1 -> SERVER0 @ site 1
141026 184731.839|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #2 TEAM13 @ site 1 -> SERVER0 @ site 1
141026 184731.995|INFO|Thread-8|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #51 SERVER0 @ site 1 -> TEAM13 @ site 1
141026 184731.995|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #51 ) recieveObject
141026 184731.995|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (pc2 @ 127.0.1.1) (Contest Id: Default--7456034155207893469)
141026 184731.995|INFO|Thread-8|dumpPacket|    To: TEAM13 @ site 1
141026 184731.996|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 1 NEW1542583 ms from TEAM13 @ site 1 id Run-8469493594651849158
141026 184731.996|INFO|Thread-8|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #51 SERVER0 @ site 1 -> TEAM13 @ site 1
141026 184731.996|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #51 ) handlePacket
