141130 213103.427|CONFIG|Thread-5|setFileHandlers|Now logging to C:\Users\Qasim\Documents\CMUQ WORK\Fall 2014\Competition Progg\pc2-9.2.3\bin\logs directory.
141130 213103.428|INFO|Thread-5|info|
141130 213103.428|INFO|Thread-5|info|Version 9.2.3 20120910 (Monday, September 10th 2012 16:20 UTC) Java ver 1.8.0_20 build 2565 Windows 7 6.1 (amd64) 
141130 213103.429|INFO|Thread-5|info|Login: team13 (aka team13)
141130 213103.429|INFO|Thread-5|startLog|Working directory is C:\Users\Qasim\Documents\CMUQ WORK\Fall 2014\Competition Progg\pc2-9.2.3\bin
141130 213103.429|INFO|Thread-5|startLog|Process id is 7044@CHIKAANCOMPUTER
141130 213103.431|INFO|Thread-5|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
141130 213103.481|INFO|Thread-5|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
141130 213103.939|INFO|Thread-5|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
141130 213103.941|INFO|Thread-5|info|handlePacket end Packet[LOGIN_SUCCESS] #138 SERVER0 @ site 1 -> TEAM13 @ site 1
141130 213103.941|INFO|Thread-5|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #138 SERVER0 @ site 1 -> TEAM13 @ site 1
141130 221806.779|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for B - Auto-Complete Python file: C:\Users\Qasim\Documents\CMUQ WORK\Fall 2014\Competition Progg\five\PrA.py
141130 221806.786|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #2 TEAM13 @ site 1 -> SERVER0 @ site 1
141130 221806.787|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #2 TEAM13 @ site 1 -> SERVER0 @ site 1
141130 221807.262|INFO|Thread-8|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #140 SERVER0 @ site 1 -> TEAM13 @ site 1
141130 221807.263|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #140 ) recieveObject
141130 221807.263|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (pc2 @ 127.0.1.1) (Contest Id: Default-8267512950873870096)
141130 221807.263|INFO|Thread-8|dumpPacket|    To: TEAM13 @ site 1
141130 221807.263|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 7 QUEUED_FOR_COMPUTER_JUDGEMENT15107353 ms from TEAM13 @ site 1 id Run-2786293718510072338
141130 221807.264|INFO|Thread-8|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #140 SERVER0 @ site 1 -> TEAM13 @ site 1
141130 221807.264|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #140 ) handlePacket
141130 221807.264|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (pc2 @ 127.0.1.1) (Contest Id: Default-8267512950873870096)
141130 221807.264|INFO|Thread-8|dumpPacket|    To: TEAM13 @ site 1
141130 221807.264|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 7 QUEUED_FOR_COMPUTER_JUDGEMENT15107353 ms from TEAM13 @ site 1 id Run-2786293718510072338
141130 221808.317|INFO|Thread-8|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #140 SERVER0 @ site 1 -> TEAM13 @ site 1
