140921 212857.958|CONFIG|Thread-5|setFileHandlers|Now logging to C:\Users\Qasim\Documents\CMUQ WORK\Fall 2014\Competition Progg\pc2-9.2.3\bin\logs directory.
140921 212857.959|INFO|Thread-5|info|
140921 212857.959|INFO|Thread-5|info|Version 9.2.3 20120910 (Monday, September 10th 2012 16:20 UTC) Java ver 1.8.0_20 build 2565 Windows 7 6.1 (amd64) 
140921 212857.959|INFO|Thread-5|info|Login: team13 (aka team13)
140921 212857.959|INFO|Thread-5|startLog|Working directory is C:\Users\Qasim\Documents\CMUQ WORK\Fall 2014\Competition Progg\pc2-9.2.3\bin
140921 212857.960|INFO|Thread-5|startLog|Process id is 6584@CHIKAANCOMPUTER
140921 212857.961|INFO|Thread-5|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
140921 212857.973|INFO|Thread-5|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
140921 212858.262|INFO|Thread-5|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
140921 212858.262|INFO|Thread-5|info|handlePacket end Packet[LOGIN_SUCCESS] #371 SERVER0 @ site 1 -> TEAM13 @ site 1
140921 212858.263|INFO|Thread-5|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #371 SERVER0 @ site 1 -> TEAM13 @ site 1
140921 212915.590|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for A - Auto-Complete Python file: C:\Users\Qasim\Documents\CMUQ WORK\Fall 2014\Competition Progg\five\PrA.py
140921 212915.594|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #2 TEAM13 @ site 1 -> SERVER0 @ site 1
140921 212915.595|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #2 TEAM13 @ site 1 -> SERVER0 @ site 1
140921 212915.644|INFO|Thread-8|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #373 SERVER0 @ site 1 -> TEAM13 @ site 1
140921 212915.644|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #373 ) recieveObject
140921 212915.645|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (pc2 @ 127.0.1.1) (Contest Id: Default-4328894082184257867)
140921 212915.645|INFO|Thread-8|dumpPacket|    To: TEAM13 @ site 1
140921 212915.645|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 41 NEW8758375 ms from TEAM13 @ site 1 id Run--2666705530607485815
140921 212915.645|INFO|Thread-8|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #373 SERVER0 @ site 1 -> TEAM13 @ site 1
140921 212915.646|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #373 ) handlePacket
140921 212915.646|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (pc2 @ 127.0.1.1) (Contest Id: Default-4328894082184257867)
140921 212915.646|INFO|Thread-8|dumpPacket|    To: TEAM13 @ site 1
140921 212915.646|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 41 NEW8758375 ms from TEAM13 @ site 1 id Run--2666705530607485815
140921 212916.696|INFO|Thread-8|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #373 SERVER0 @ site 1 -> TEAM13 @ site 1
140921 223320.884|INFO|Thread-1|info|connectionDropped: shutting down TEAM13 @ site 1
