140915 220206.426|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\Users\Qasim\Documents\CMUQ WORK\Fall 2014\Competition Progg\pc2-9.2.3\bin\logs directory.
140915 220206.427|INFO|AWT-EventQueue-0|info|
140915 220206.427|INFO|AWT-EventQueue-0|info|Version 9.2.3 20120910 (Monday, September 10th 2012 16:20 UTC) Java ver 1.8.0_20 build 2565 Windows 7 6.1 (amd64) 
140915 220206.427|INFO|AWT-EventQueue-0|info|Login: team13 (aka team13)
140915 220206.427|INFO|AWT-EventQueue-0|startLog|Working directory is C:\Users\Qasim\Documents\CMUQ WORK\Fall 2014\Competition Progg\pc2-9.2.3\bin
140915 220206.429|INFO|AWT-EventQueue-0|startLog|Process id is 5548@CHIKAANCOMPUTER
140915 220206.429|INFO|AWT-EventQueue-0|info|Contacting server at pc2.qatar.cmu.edu:50002 as TEAM13 @ site 0
140915 220206.430|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM13 @ site 0
140915 220206.439|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 TEAM13 @ site 0 -> SERVER0 @ site 0
140915 220206.441|INFO|Thread-4|run|send(Serializable)
140915 220206.444|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 TEAM13 @ site 0 -> SERVER0 @ site 0
140915 220206.445|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
140915 220207.838|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
140915 220207.945|INFO|Thread-5|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #291 SERVER0 @ site 1 -> TEAM13 @ site 1
140915 220207.946|INFO|Thread-5|dumpPacket|Packet LOGIN_SUCCESS (Seq #291 ) recieveObject
140915 220207.946|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1 (pc2 @ 127.0.1.1) (Contest Id: Default-4042054543451503544)
140915 220207.947|INFO|Thread-5|dumpPacket|    To: TEAM13 @ site 1
140915 220207.947|INFO|Thread-5|dumpPacket|   key: ACCOUNT_ARRAY is: [Ledu.csus.ecs.pc2.core.model.Account; [Ledu.csus.ecs.pc2.core.model.Account;@5bf588ce
140915 220207.947|INFO|Thread-5|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
