140831 155720.365|CONFIG|Thread-5|setFileHandlers|Now logging to C:\Users\Qasim\Documents\CMUQ WORK\Fall 2014\Competition Progg\pc2-9.2.3\bin\logs directory.
140831 155720.365|INFO|Thread-5|info|
140831 155720.366|INFO|Thread-5|info|Version 9.2.3 20120910 (Monday, September 10th 2012 16:20 UTC) Java ver 1.8.0_20 build 2565 Windows 7 6.1 (amd64) 
140831 155720.366|INFO|Thread-5|info|Login: team13 (aka team13)
140831 155720.366|INFO|Thread-5|startLog|Working directory is C:\Users\Qasim\Documents\CMUQ WORK\Fall 2014\Competition Progg\pc2-9.2.3\bin
140831 155720.366|INFO|Thread-5|startLog|Process id is 9028@CHIKAANCOMPUTER
140831 155720.368|INFO|Thread-5|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
140831 155720.379|INFO|Thread-5|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
140831 155720.667|INFO|Thread-5|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
140831 155720.669|INFO|Thread-5|info|handlePacket end Packet[LOGIN_SUCCESS] #1083 SERVER0 @ site 1 -> TEAM13 @ site 1
140831 155720.669|INFO|Thread-5|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #1083 SERVER0 @ site 1 -> TEAM13 @ site 1
140831 155850.611|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for B - Cow Art Python file: C:\Users\Qasim\Documents\CMUQ WORK\Fall 2014\Competition Progg\probB.py
140831 155850.621|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #2 TEAM13 @ site 1 -> SERVER0 @ site 1
140831 155850.622|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #2 TEAM13 @ site 1 -> SERVER0 @ site 1
140831 155850.673|INFO|Thread-8|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #1085 SERVER0 @ site 1 -> TEAM13 @ site 1
140831 155850.674|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #1085 ) recieveObject
140831 155850.674|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (pc2 @ 127.0.1.1) (Contest Id: Default-5287084473898122071)
